narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
S07_Brownie_0000001,S07,S07_Brownie,0 days 00:00:18.116000,0 days 00:00:18.116000,0 days 00:00:19.401000,543,582,open cupboard,open,0,cupboard,13,['cupboard'],[13]
S07_Brownie_0000002,S07,S07_Brownie,0 days 00:00:19.401000,0 days 00:00:19.401000,0 days 00:00:22.301000,582,669,take bowl cupboard,take,1,bowl,4,"['bowl', 'cupboard']","[4, 13]"
S07_Brownie_0000003,S07,S07_Brownie,0 days 00:00:22.301000,0 days 00:00:22.301000,0 days 00:00:23.534000,669,706,put bowl top,put,2,bowl,4,"['bowl', 'top']","[4, 39]"
S07_Brownie_0000004,S07,S07_Brownie,0 days 00:00:23.534000,0 days 00:00:23.534000,0 days 00:00:25.234000,706,757,take cup cupboard,take,1,cup,12,"['cup', 'cupboard']","[12, 13]"
S07_Brownie_0000005,S07,S07_Brownie,0 days 00:00:25.234000,0 days 00:00:25.234000,0 days 00:00:25.934000,757,778,put cup top,put,2,cup,12,"['cup', 'top']","[12, 39]"
S07_Brownie_0000006,S07,S07_Brownie,0 days 00:00:25.934000,0 days 00:00:25.934000,0 days 00:00:28.034000,778,841,take cup cupboard,take,1,cup,12,"['cup', 'cupboard']","[12, 13]"
S07_Brownie_0000007,S07,S07_Brownie,0 days 00:00:28.034000,0 days 00:00:28.034000,0 days 00:00:29.381000,841,881,put cup top,put,2,cup,12,"['cup', 'top']","[12, 39]"
S07_Brownie_0000008,S07,S07_Brownie,0 days 00:00:29.381000,0 days 00:00:29.381000,0 days 00:00:30.767000,881,923,close cupboard,close,3,cupboard,13,['cupboard'],[13]
S07_Brownie_0000009,S07,S07_Brownie,0 days 00:00:30.767000,0 days 00:00:30.767000,0 days 00:00:34.067000,923,1022,open drawer,open,0,drawer,15,['drawer'],[15]
S07_Brownie_0000010,S07,S07_Brownie,0 days 00:00:34.067000,0 days 00:00:34.067000,0 days 00:00:35.467000,1022,1064,take fork drawer,take,1,fork,17,"['fork', 'drawer']","[17, 15]"
S07_Brownie_0000011,S07,S07_Brownie,0 days 00:00:35.467000,0 days 00:00:35.467000,0 days 00:00:35.967000,1064,1079,put fork top,put,2,fork,17,"['fork', 'top']","[17, 39]"
S07_Brownie_0000012,S07,S07_Brownie,0 days 00:00:35.967000,0 days 00:00:35.967000,0 days 00:00:36.867000,1079,1106,close drawer,close,3,drawer,15,['drawer'],[15]
S07_Brownie_0000013,S07,S07_Brownie,0 days 00:00:36.867000,0 days 00:00:36.867000,0 days 00:00:38.267000,1106,1148,transition top fridge,transition,4,top,39,"['top', 'fridge']","[39, 18]"
S07_Brownie_0000014,S07,S07_Brownie,0 days 00:00:38.267000,0 days 00:00:38.267000,0 days 00:00:39.834000,1148,1195,open fridge,open,0,fridge,18,['fridge'],[18]
S07_Brownie_0000015,S07,S07_Brownie,0 days 00:00:39.834000,0 days 00:00:39.834000,0 days 00:00:41.034000,1195,1231,open box,open,0,box,5,['box'],[5]
S07_Brownie_0000016,S07,S07_Brownie,0 days 00:00:41.034000,0 days 00:00:41.034000,0 days 00:00:43.634000,1231,1309,take shell:egg box,take,1,shell:egg,33,"['shell:egg', 'box']","[33, 5]"
S07_Brownie_0000017,S07,S07_Brownie,0 days 00:00:43.634000,0 days 00:00:43.634000,0 days 00:00:45.134000,1309,1354,take shell:egg box,take,1,shell:egg,33,"['shell:egg', 'box']","[33, 5]"
S07_Brownie_0000018,S07,S07_Brownie,0 days 00:00:45.134000,0 days 00:00:45.134000,0 days 00:00:46.034000,1354,1381,close fridge,close,3,fridge,18,['fridge'],[18]
S07_Brownie_0000019,S07,S07_Brownie,0 days 00:00:46.034000,0 days 00:00:46.034000,0 days 00:00:47.301000,1381,1419,transition fridge top,transition,4,fridge,18,"['fridge', 'top']","[18, 39]"
S07_Brownie_0000020,S07,S07_Brownie,0 days 00:00:47.301000,0 days 00:00:47.301000,0 days 00:00:49.034000,1419,1471,take fork top,take,1,fork,17,"['fork', 'top']","[17, 39]"
S07_Brownie_0000021,S07,S07_Brownie,0 days 00:00:49.034000,0 days 00:00:49.034000,0 days 00:00:50.234000,1471,1507,put shell:egg top,put,2,shell:egg,33,"['shell:egg', 'top']","[33, 39]"
S07_Brownie_0000022,S07,S07_Brownie,0 days 00:00:50.234000,0 days 00:00:50.234000,0 days 00:00:51.667000,1507,1550,open shell:egg,open,0,shell:egg,33,['shell:egg'],[33]
S07_Brownie_0000023,S07,S07_Brownie,0 days 00:00:51.667000,0 days 00:00:51.667000,0 days 00:00:52.167000,1550,1565,put fork top,put,2,fork,17,"['fork', 'top']","[17, 39]"
S07_Brownie_0000024,S07,S07_Brownie,0 days 00:00:52.167000,0 days 00:00:52.167000,0 days 00:00:54.834000,1565,1645,fill egg shell:egg bowl,fill,5,egg,16,"['egg', 'shell:egg', 'bowl']","[16, 33, 4]"
S07_Brownie_0000025,S07,S07_Brownie,0 days 00:00:54.834000,0 days 00:00:54.834000,0 days 00:00:56.067000,1645,1682,put shell:egg sink,put,2,shell:egg,33,"['shell:egg', 'sink']","[33, 34]"
S07_Brownie_0000026,S07,S07_Brownie,0 days 00:00:56.067000,0 days 00:00:56.067000,0 days 00:00:56.701000,1682,1701,take shell:egg top,take,1,shell:egg,33,"['shell:egg', 'top']","[33, 39]"
S07_Brownie_0000027,S07,S07_Brownie,0 days 00:00:56.701000,0 days 00:00:56.701000,0 days 00:00:57.501000,1701,1725,take fork top,take,1,fork,17,"['fork', 'top']","[17, 39]"
S07_Brownie_0000028,S07,S07_Brownie,0 days 00:00:57.501000,0 days 00:00:57.501000,0 days 00:00:58.601000,1725,1758,open shell:egg,open,0,shell:egg,33,['shell:egg'],[33]
S07_Brownie_0000029,S07,S07_Brownie,0 days 00:00:58.601000,0 days 00:00:58.601000,0 days 00:00:59.201000,1758,1776,put fork top,put,2,fork,17,"['fork', 'top']","[17, 39]"
S07_Brownie_0000030,S07,S07_Brownie,0 days 00:00:59.201000,0 days 00:00:59.201000,0 days 00:01:01.567000,1776,1847,fill egg shell:egg bowl,fill,5,egg,16,"['egg', 'shell:egg', 'bowl']","[16, 33, 4]"
S07_Brownie_0000031,S07,S07_Brownie,0 days 00:01:01.567000,0 days 00:01:01.567000,0 days 00:01:03.234000,1847,1897,put shell:egg sink,put,2,shell:egg,33,"['shell:egg', 'sink']","[33, 34]"
S07_Brownie_0000032,S07,S07_Brownie,0 days 00:01:03.234000,0 days 00:01:03.234000,0 days 00:01:04.201000,1897,1926,take fork top,take,1,fork,17,"['fork', 'top']","[17, 39]"
S07_Brownie_0000033,S07,S07_Brownie,0 days 00:01:04.201000,0 days 00:01:04.201000,0 days 00:01:05.301000,1926,1959,take bowl top,take,1,bowl,4,"['bowl', 'top']","[4, 39]"
S07_Brownie_0000034,S07,S07_Brownie,0 days 00:01:05.301000,0 days 00:01:05.301000,0 days 00:01:15.967000,1959,2279,mix bowl fork,mix,6,bowl,4,"['bowl', 'fork']","[4, 17]"
S07_Brownie_0000035,S07,S07_Brownie,0 days 00:01:15.967000,0 days 00:01:15.967000,0 days 00:01:16.500000,2279,2295,put fork bowl,put,2,fork,17,"['fork', 'bowl']","[17, 4]"
S07_Brownie_0000036,S07,S07_Brownie,0 days 00:01:16.500000,0 days 00:01:16.500000,0 days 00:01:17.001000,2295,2310,put bowl top,put,2,bowl,4,"['bowl', 'top']","[4, 39]"
S07_Brownie_0000037,S07,S07_Brownie,0 days 00:01:17.001000,0 days 00:01:17.001000,0 days 00:01:19.934000,2310,2398,take cup top,take,1,cup,12,"['cup', 'top']","[12, 39]"
S07_Brownie_0000038,S07,S07_Brownie,0 days 00:01:19.934000,0 days 00:01:19.934000,0 days 00:01:25.404000,2398,2562,fill water tap cup,fill,5,water,42,"['water', 'tap', 'cup']","[42, 38, 12]"
S07_Brownie_0000039,S07,S07_Brownie,0 days 00:01:25.404000,0 days 00:01:25.404000,0 days 00:01:30.934000,2562,2728,fill water cup bowl,fill,5,water,42,"['water', 'cup', 'bowl']","[42, 12, 4]"
S07_Brownie_0000040,S07,S07_Brownie,0 days 00:01:30.934000,0 days 00:01:30.934000,0 days 00:01:32.267000,2728,2768,put cup top,put,2,cup,12,"['cup', 'top']","[12, 39]"
S07_Brownie_0000041,S07,S07_Brownie,0 days 00:01:32.267000,0 days 00:01:32.267000,0 days 00:01:34.567000,2768,2837,take cup top,take,1,cup,12,"['cup', 'top']","[12, 39]"
S07_Brownie_0000042,S07,S07_Brownie,0 days 00:01:34.567000,0 days 00:01:34.567000,0 days 00:01:36.767000,2837,2903,open cupboard,open,0,cupboard,13,['cupboard'],[13]
S07_Brownie_0000043,S07,S07_Brownie,0 days 00:01:36.767000,0 days 00:01:36.767000,0 days 00:01:38.234000,2903,2947,take bottle cupboard,take,1,bottle,3,"['bottle', 'cupboard']","[3, 13]"
S07_Brownie_0000044,S07,S07_Brownie,0 days 00:01:38.234000,0 days 00:01:38.234000,0 days 00:01:38.934000,2947,2968,put bottle top,put,2,bottle,3,"['bottle', 'top']","[3, 39]"
S07_Brownie_0000045,S07,S07_Brownie,0 days 00:01:38.934000,0 days 00:01:38.934000,0 days 00:01:39.701000,2968,2991,put cup top,put,2,cup,12,"['cup', 'top']","[12, 39]"
S07_Brownie_0000046,S07,S07_Brownie,0 days 00:01:39.701000,0 days 00:01:39.701000,0 days 00:01:41.801000,2991,3054,open bottle,open,0,bottle,3,['bottle'],[3]
